round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,55.0,90.0,1,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.6129850149154663,0.7229408621788025,-0.10995584726333618,1,1,0.7236592769622803,0.7772983908653259,-0.053639113903045654,1,1,-35.0,-1.0,-1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,63.0,92.0,1,0.76,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.5807472467422485,0.6544937491416931,-0.07374650239944458,1,1,0.706886351108551,0.7550619840621948,-0.0481756329536438,1,1,-29.0,-1.0,-1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,72.0,88.0,1,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.7329979538917542,0.6707872152328491,0.06221073865890503,0,0,0.7777433395385742,0.6730430126190186,0.10470032691955566,0,0,-16.0,-1.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,88.0,60.0,0,0.75,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.6869244575500488,0.7215999960899353,-0.034675538539886475,1,0,0.7683362364768982,0.7745181322097778,-0.006181895732879639,1,0,28.0,1.0,-1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,72.0,88.0,1,0.76,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.665574312210083,0.6182029247283936,0.04737138748168945,0,0,0.7169539928436279,0.7257002592086792,-0.00874626636505127,1,1,-16.0,-1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,75.0,88.0,1,0.82,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.6175077557563782,0.6242305040359497,-0.006722748279571533,1,1,0.6684016585350037,0.6889764070510864,-0.020574748516082764,1,1,-13.0,-1.0,-1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,68.0,92.0,1,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.687248170375824,0.7579663395881653,-0.07071816921234131,1,1,0.7261684536933899,0.7309097051620483,-0.004741251468658447,1,1,-24.0,-1.0,-1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,68.0,88.0,1,0.76,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.7297508716583252,0.5813348293304443,0.14841604232788086,0,0,0.7790501117706299,0.6925961971282959,0.08645391464233398,0,0,-20.0,-1.0,1.0,1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,82.0,66.0,0,0.65,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.7258495092391968,0.636378288269043,0.08947122097015381,0,1,0.7037418484687805,0.7436070442199707,-0.039865195751190186,1,0,16.0,1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,60.0,88.0,1,0.78,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_0_0,0.6313998103141785,0.5958812236785889,0.0355185866355896,0,0,0.7784096002578735,0.7945387959480286,-0.01612919569015503,1,1,-28.0,-1.0,1.0,-1.0,gpt_5_nano,gemini_duel,Gemini-duel
