round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,9.0,7.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7466398477554321,0.7438530325889587,0.0027868151664733887,0,1,0.8472126722335815,0.8466437458992004,0.0005689263343811035,0,1,2.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,8.5,6.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7045263051986694,0.7414148449897766,-0.03688853979110718,1,0,0.9057210087776184,0.8210779428482056,0.08464306592941284,0,1,2.5,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,6.5,8.7,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.29023027420043945,0.6813606023788452,-0.39113032817840576,1,1,0.5069755911827087,0.9039732217788696,-0.3969976305961609,1,1,-2.1999999999999993,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,8.5,7.2,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6293686032295227,0.5624585747718811,0.0669100284576416,0,1,0.7385126352310181,0.7545936107635498,-0.01608097553253174,1,0,1.2999999999999998,1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,9.0,7.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7438434362411499,0.6681786775588989,0.07566475868225098,0,1,0.8433586359024048,0.8286226987838745,0.014735937118530273,0,1,2.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,8.5,6.0,0,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7349033355712891,0.7312637567520142,0.0036395788192749023,0,1,0.7969385385513306,0.7654944658279419,0.03144407272338867,0,1,2.5,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,8.0,6.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6939210295677185,0.704204261302948,-0.010283231735229492,1,0,0.7554690837860107,0.8948045969009399,-0.1393355131149292,1,0,2.0,1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,6.0,8.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5850183963775635,0.7520637512207031,-0.16704535484313965,1,1,0.8497880697250366,0.8143883943557739,0.035399675369262695,0,0,-2.0,-1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,8.0,6.0,0,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7623143196105957,0.7080070972442627,0.05430722236633301,0,1,0.8042694330215454,0.7616173624992371,0.04265207052230835,0,1,2.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,8.5,6.0,0,0.8,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5385279655456543,0.6057534217834473,-0.06722545623779297,1,0,0.7531219720840454,0.7055838108062744,0.047538161277770996,0,1,2.5,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,75.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7466398477554321,0.7438530325889587,0.0027868151664733887,0,0,0.8472126722335815,0.8466437458992004,0.0005689263343811035,0,0,-15.0,-1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,85.0,70.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7045263051986694,0.7414148449897766,-0.03688853979110718,1,0,0.9057210087776184,0.8210779428482056,0.08464306592941284,0,1,15.0,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,0.0,100.0,1,,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.29023027420043945,0.6813606023788452,-0.39113032817840576,1,1,0.5069755911827087,0.9039732217788696,-0.3969976305961609,1,1,-100.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,87.0,74.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6293686032295227,0.5624585747718811,0.0669100284576416,0,1,0.7385126352310181,0.7545936107635498,-0.01608097553253174,1,0,13.0,1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,85.0,70.0,0,0.75,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7438434362411499,0.6681786775588989,0.07566475868225098,0,1,0.8433586359024048,0.8286226987838745,0.014735937118530273,0,1,15.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,85.0,65.0,0,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7349033355712891,0.7312637567520142,0.0036395788192749023,0,1,0.7969385385513306,0.7654944658279419,0.03144407272338867,0,1,20.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,65.0,88.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6939210295677185,0.704204261302948,-0.010283231735229492,1,1,0.7554690837860107,0.8948045969009399,-0.1393355131149292,1,1,-23.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,85.0,65.0,0,0.8,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5850183963775635,0.7520637512207031,-0.16704535484313965,1,0,0.8497880697250366,0.8143883943557739,0.035399675369262695,0,1,20.0,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,85.0,70.0,0,0.8,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7623143196105957,0.7080070972442627,0.05430722236633301,0,1,0.8042694330215454,0.7616173624992371,0.04265207052230835,0,1,15.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,90.0,75.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5385279655456543,0.6057534217834473,-0.06722545623779297,1,0,0.7531219720840454,0.7055838108062744,0.047538161277770996,0,1,15.0,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
