round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,8.5,6.5,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2753540873527527,0.30298399925231934,-0.02762991189956665,1,0,0.5173977613449097,0.5466020107269287,-0.029204249382019043,1,0,2.0,1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,8.0,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.35856014490127563,0.34246137738227844,0.016098767518997192,0,1,0.5585691928863525,0.5165673494338989,0.04200184345245361,0,1,2.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6798566579818726,0.23221930861473083,0.4476373493671417,0,0,0.7198756337165833,0.5683022141456604,0.15157341957092285,0,0,-3.0,-1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,6.0,9.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.34158602356910706,0.3951438367366791,-0.05355781316757202,1,1,0.5033553838729858,0.5279240608215332,-0.024568676948547363,1,1,-3.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,9.0,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.31483525037765503,0.37154626846313477,-0.056711018085479736,1,0,0.5360146760940552,0.5679641962051392,-0.031949520111083984,1,0,3.0,1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,6.0,9.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2677977681159973,0.4303927719593048,-0.1625950038433075,1,1,0.4779166877269745,0.5550141334533691,-0.07709744572639465,1,1,-3.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,8.0,5.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2529577612876892,0.23037104308605194,0.022586718201637268,0,1,0.5667968392372131,0.5418577194213867,0.024939119815826416,0,1,3.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.28671154379844666,0.31898847222328186,-0.032276928424835205,1,1,0.5300419926643372,0.5013518333435059,0.0286901593208313,0,0,-2.0,-1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,8.5,5.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.40217503905296326,0.3370221257209778,0.06515291333198547,0,1,0.5393746495246887,0.5494309663772583,-0.01005631685256958,1,0,3.5,1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,9.0,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.4057820439338684,0.30919191241264343,0.09659013152122498,0,1,0.5531671047210693,0.5009801983833313,0.05218690633773804,0,1,3.0,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,6.5,8.5,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2581380307674408,0.36298543214797974,-0.10484740138053894,1,1,0.4732087254524231,0.5203661322593689,-0.0471574068069458,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,8.5,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.356296181678772,0.3232761025428772,0.033020079135894775,0,1,0.5664716362953186,0.5202450752258301,0.046226561069488525,0,1,2.5,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2509436309337616,0.30683356523513794,-0.05588993430137634,1,1,0.5127911567687988,0.5125447511672974,0.00024640560150146484,0,0,-2.0,-1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,7.0,9.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.11920300871133804,0.3198203444480896,-0.20061733573675156,1,1,0.4732050895690918,0.4558209180831909,0.01738417148590088,0,0,-2.0,-1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,5,4,1,round002_pair005_i4_A.png,round002_pair005_j1_B.png,6.0,9.0,1,0.8,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.30240312218666077,0.2553752064704895,0.047027915716171265,0,0,0.5132879614830017,0.5655092000961304,-0.05222123861312866,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,6,4,2,round002_pair006_i4_A.png,round002_pair006_j2_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.30308252573013306,0.2725909948348999,0.030491530895233154,0,0,0.4684644639492035,0.6009693145751953,-0.13250485062599182,1,1,-2.0,-1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,7,4,3,round002_pair007_i4_A.png,round002_pair007_j3_B.png,6.5,8.5,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.30258113145828247,0.3704359829425812,-0.0678548514842987,1,1,0.4863775372505188,0.508377194404602,-0.021999657154083252,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,8,4,5,round002_pair008_i4_A.png,round002_pair008_j5_B.png,6.0,9.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.33098679780960083,0.3123399615287781,0.018646836280822754,0,0,0.5365040898323059,0.5433797836303711,-0.0068756937980651855,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,9,4,3,round002_pair009_i4_A.png,round002_pair009_j3_B.png,7.0,9.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.37006306648254395,0.40236473083496094,-0.03230166435241699,1,1,0.46411576867103577,0.5480392575263977,-0.08392348885536194,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
2,10,4,3,round002_pair010_i4_A.png,round002_pair010_j3_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.23561669886112213,0.32491588592529297,-0.08929918706417084,1,1,0.5033581256866455,0.5651723146438599,-0.061814188957214355,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2753540873527527,0.30298399925231934,-0.02762991189956665,1,1,0.5173977613449097,0.5466020107269287,-0.029204249382019043,1,1,-3.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,4.0,8.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.35856014490127563,0.34246137738227844,0.016098767518997192,0,0,0.5585691928863525,0.5165673494338989,0.04200184345245361,0,0,-4.0,-1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,8.5,7.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6798566579818726,0.23221930861473083,0.4476373493671417,0,1,0.7198756337165833,0.5683022141456604,0.15157341957092285,0,1,1.5,1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,6.0,8.5,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.34158602356910706,0.3951438367366791,-0.05355781316757202,1,1,0.5033553838729858,0.5279240608215332,-0.024568676948547363,1,1,-2.5,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,8.0,6.0,0,0.8,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.31483525037765503,0.37154626846313477,-0.056711018085479736,1,0,0.5360146760940552,0.5679641962051392,-0.031949520111083984,1,0,2.0,1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2677977681159973,0.4303927719593048,-0.1625950038433075,1,1,0.4779166877269745,0.5550141334533691,-0.07709744572639465,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,6.0,9.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.2529577612876892,0.23037104308605194,0.022586718201637268,0,0,0.5667968392372131,0.5418577194213867,0.024939119815826416,0,0,-3.0,-1.0,1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,8.5,6.5,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.28671154379844666,0.31898847222328186,-0.032276928424835205,1,0,0.5300419926643372,0.5013518333435059,0.0286901593208313,0,1,2.0,1.0,-1.0,1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,6.0,9.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.40217503905296326,0.3370221257209778,0.06515291333198547,0,0,0.5393746495246887,0.5494309663772583,-0.01005631685256958,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,gemini_duel,Gemini-duel
