round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,4.0,8.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.49451157450675964,0.48918482661247253,0.005326747894287109,0,0,0.6779201030731201,0.6747015714645386,0.003218531608581543,0,0,-4.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5996047258377075,0.4000115692615509,0.19959315657615662,0,0,0.6927086710929871,0.6283003091812134,0.06440836191177368,0,0,-2.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,4.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.49442052841186523,0.43132567405700684,0.0630948543548584,0,0,0.6953295469284058,0.6683980226516724,0.0269315242767334,0,0,-4.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,4.0,7.0,1,0.8,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6201514601707458,0.6411430239677429,-0.02099156379699707,1,1,0.6934863328933716,0.6626558303833008,0.0308305025100708,0,0,-3.0,-1.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5785629749298096,0.5741532444953918,0.004409730434417725,0,0,0.655945360660553,0.7320426106452942,-0.07609724998474121,1,1,-2.0,-1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,8.5,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.605785608291626,0.6149060726165771,-0.009120464324951172,1,0,0.6973909139633179,0.7063464522361755,-0.008955538272857666,1,0,2.5,1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,8.0,5.0,0,0.8,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6113163828849792,0.6560248136520386,-0.044708430767059326,1,0,0.7213064432144165,0.723129153251648,-0.0018227100372314453,1,0,3.0,1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6453573107719421,0.575589656829834,0.06976765394210815,0,0,0.6867117285728455,0.723950982093811,-0.037239253520965576,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,8.0,5.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6007319688796997,0.5393959283828735,0.06133604049682617,0,1,0.721677303314209,0.6476831436157227,0.07399415969848633,0,1,3.0,1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5771036744117737,0.5446266531944275,0.03247702121734619,0,0,0.7116400003433228,0.6954812407493591,0.016158759593963623,0,0,-2.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5295943021774292,0.3787141740322113,0.1508801281452179,0,0,0.6819308996200562,0.6971800327301025,-0.015249133110046387,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5493046045303345,0.6003862619400024,-0.05108165740966797,1,1,0.6705294251441956,0.6472641229629517,0.023265302181243896,0,0,-3.0,-1.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,8.0,5.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5001539587974548,0.41800349950790405,0.08215045928955078,0,1,0.6472468376159668,0.7174669504165649,-0.07022011280059814,1,0,3.0,1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,6.0,9.0,1,0.95,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5032726526260376,0.547522783279419,-0.04425013065338135,1,1,0.6808420419692993,0.7018052339553833,-0.020963191986083984,1,1,-3.0,-1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,5,4,1,round002_pair005_i4_A.png,round002_pair005_j1_B.png,8.0,5.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.4854084253311157,0.5819233655929565,-0.09651494026184082,1,0,0.6599421501159668,0.6759515404701233,-0.016009390354156494,1,0,3.0,1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,6,4,2,round002_pair006_i4_A.png,round002_pair006_j2_B.png,6.0,9.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5871779918670654,0.5023590326309204,0.08481895923614502,0,0,0.7324942946434021,0.6928621530532837,0.03963214159011841,0,0,-3.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,7,4,3,round002_pair007_i4_A.png,round002_pair007_j3_B.png,5.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5856729745864868,0.48075616359710693,0.10491681098937988,0,0,0.6637519001960754,0.7077979445457458,-0.04404604434967041,1,1,-3.0,-1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,8,4,5,round002_pair008_i4_A.png,round002_pair008_j5_B.png,5.0,8.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.4718628525733948,0.5438013672828674,-0.07193851470947266,1,1,0.6776266098022461,0.7021864652633667,-0.024559855461120605,1,1,-3.0,-1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,9,4,3,round002_pair009_i4_A.png,round002_pair009_j3_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5557944178581238,0.5726708173751831,-0.016876399517059326,1,1,0.6788411736488342,0.7216945290565491,-0.042853355407714844,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
2,10,4,3,round002_pair010_i4_A.png,round002_pair010_j3_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6490506529808044,0.49977314472198486,0.14927750825881958,0,0,0.7304068803787231,0.703197717666626,0.027209162712097168,0,0,-2.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,1,4,0,round003_pair001_i4_A.png,round003_pair001_j0_B.png,8.5,5.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6046538352966309,0.5449733138084412,0.0596805214881897,0,1,0.7100107073783875,0.7045423984527588,0.005468308925628662,0,1,3.5,1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,2,5,2,round003_pair002_i5_A.png,round003_pair002_j2_B.png,6.0,8.0,1,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.48262614011764526,0.5150453448295593,-0.03241920471191406,1,1,0.6925041675567627,0.6846915483474731,0.00781261920928955,0,0,-2.0,-1.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,3,3,1,round003_pair003_i3_A.png,round003_pair003_j1_B.png,5.0,8.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5860174894332886,0.4999079704284668,0.08610951900482178,0,0,0.7002261877059937,0.6925067901611328,0.00771939754486084,0,0,-3.0,-1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,4,4,1,round003_pair004_i4_A.png,round003_pair004_j1_B.png,8.0,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5731118321418762,0.6066136360168457,-0.03350180387496948,1,0,0.7029725313186646,0.6972537040710449,0.005718827247619629,0,1,2.0,1.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,5,4,0,round003_pair005_i4_A.png,round003_pair005_j0_B.png,9.0,6.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5561412572860718,0.5991266965866089,-0.04298543930053711,1,0,0.6987292766571045,0.7127336859703064,-0.014004409313201904,1,0,3.0,1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,6,4,0,round003_pair006_i4_A.png,round003_pair006_j0_B.png,9.0,6.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.635888934135437,0.5962324142456055,0.03965651988983154,0,1,0.7341987490653992,0.7172237634658813,0.016974985599517822,0,1,3.0,1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,7,4,1,round003_pair007_i4_A.png,round003_pair007_j1_B.png,6.0,8.0,1,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6030545830726624,0.6184991598129272,-0.015444576740264893,1,1,0.7011719942092896,0.7183167934417725,-0.01714479923248291,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,8,4,5,round003_pair008_i4_A.png,round003_pair008_j5_B.png,8.0,5.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6096903085708618,0.5784658789634705,0.031224429607391357,0,1,0.7127634882926941,0.733302891254425,-0.020539402961730957,1,0,3.0,1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,9,4,5,round003_pair009_i4_A.png,round003_pair009_j5_B.png,8.0,5.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6088423728942871,0.41233742237091064,0.19650495052337646,0,1,0.7053691744804382,0.6654744148254395,0.03989475965499878,0,1,3.0,1.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
3,10,4,3,round003_pair010_i4_A.png,round003_pair010_j3_B.png,8.5,6.0,0,0.85,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6240661144256592,0.5243340134620667,0.09973210096359253,0,1,0.7094801664352417,0.7282983064651489,-0.018818140029907227,1,0,2.5,1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
4,1,4,2,round004_pair001_i4_A.png,round004_pair001_j2_B.png,8.0,4.0,0,0.9,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.575107216835022,0.5536481142044067,0.021459102630615234,0,1,0.690229594707489,0.7033795118331909,-0.013149917125701904,1,0,4.0,1.0,1.0,-1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
