round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,72.0,54.0,0,0.63,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7965580821037292,0.8121267557144165,-0.015568673610687256,1,0,0.8401302099227905,0.7876118421554565,0.052518367767333984,0,1,18.0,1.0,-1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,72.0,86.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6739543080329895,0.6117812395095825,0.06217306852340698,0,0,0.893571138381958,0.8864074349403381,0.007163703441619873,0,0,-14.0,-1.0,1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,72.0,54.0,0,0.62,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7815279364585876,0.7448476552963257,0.03668028116226196,0,1,0.8355932235717773,0.8913020491600037,-0.05570882558822632,1,0,18.0,1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,62.0,92.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7525485754013062,0.8256901502609253,-0.07314157485961914,1,1,0.8035329580307007,0.9010577201843262,-0.09752476215362549,1,1,-30.0,-1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,8.8,6.2,0,0.82,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7247294187545776,0.6740127801895142,0.05071663856506348,0,1,0.7873959541320801,0.8708965182304382,-0.08350056409835815,1,0,2.6000000000000005,1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,72.0,88.0,1,0.75,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7663528919219971,0.7258392572402954,0.04051363468170166,0,0,0.7992274761199951,0.8594614863395691,-0.060234010219573975,1,1,-16.0,-1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,92.0,65.0,0,0.75,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7627469301223755,0.7899294495582581,-0.02718251943588257,1,0,0.8888016939163208,0.7853903770446777,0.10341131687164307,0,1,27.0,1.0,-1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,92.0,66.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8380188941955566,0.7500166296958923,0.0880022644996643,0,1,0.897456169128418,0.8617832064628601,0.03567296266555786,0,1,26.0,1.0,1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,88.0,72.0,0,0.76,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8224458694458008,0.6438910961151123,0.17855477333068848,0,1,0.7260995507240295,0.7932838797569275,-0.06718432903289795,1,0,16.0,1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,7.800000000000001,6.2,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7935549020767212,0.8108294010162354,-0.01727449893951416,1,0,0.7748469710350037,0.8979790806770325,-0.12313210964202881,1,0,1.6000000000000005,1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,88.0,72.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6408222913742065,0.8233110308647156,-0.18248873949050903,1,0,0.8541350364685059,0.8888887166976929,-0.03475368022918701,1,0,16.0,1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,92.0,68.0,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.791143000125885,0.7592198252677917,0.03192317485809326,0,1,0.8735371232032776,0.8607143759727478,0.012822747230529785,0,1,24.0,1.0,1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,8.5,5.5,0,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5971493721008301,0.7491028308868408,-0.15195345878601074,1,0,0.8125401735305786,0.7947543859481812,0.01778578758239746,0,1,3.0,1.0,-1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,86.0,68.0,0,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8755916357040405,0.8366230726242065,0.038968563079833984,0,1,0.8297734260559082,0.8674214482307434,-0.037648022174835205,1,0,18.0,1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
