round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,90.0,80.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7628223299980164,0.635032057762146,0.12779027223587036,0,1,0.8649051189422607,0.8297125697135925,0.03519254922866821,0,1,10.0,1.0,1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,85.0,95.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6788212060928345,0.6763845086097717,0.002436697483062744,0,0,0.8070158958435059,0.8551874160766602,-0.0481715202331543,1,1,-10.0,-1.0,1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,85.0,90.0,1,0.8,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.4898303151130676,0.5935848951339722,-0.10375458002090454,1,1,0.784261167049408,0.8048299551010132,-0.020568788051605225,1,1,-5.0,-1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,90.0,95.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6859948635101318,0.4639087915420532,0.2220860719680786,0,0,0.85467529296875,0.7583398818969727,0.09633541107177734,0,0,-5.0,-1.0,1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,85.0,90.0,1,0.8,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.5920687913894653,0.7752385139465332,-0.18316972255706787,1,1,0.8420191407203674,0.9279637932777405,-0.08594465255737305,1,1,-5.0,-1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,88.0,90.0,1,0.95,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6109998226165771,0.7256267666816711,-0.114626944065094,1,1,0.8577037453651428,0.9087151288986206,-0.05101138353347778,1,1,-2.0,-1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,92.0,85.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7242107391357422,0.7257564067840576,-0.0015456676483154297,1,0,0.8335608243942261,0.8827582001686096,-0.049197375774383545,1,0,7.0,1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,90.0,95.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7891899943351746,0.6519746780395508,0.13721531629562378,0,0,0.898865818977356,0.8378953337669373,0.0609704852104187,0,0,-5.0,-1.0,1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,90.0,80.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7141551971435547,0.5499395132064819,0.16421568393707275,0,1,0.8587239384651184,0.7205026745796204,0.13822126388549805,0,1,10.0,1.0,1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,82.0,90.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7438632249832153,0.6733418703079224,0.07052135467529297,0,0,0.8262481093406677,0.8980624675750732,-0.07181435823440552,1,1,-8.0,-1.0,1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,90.0,80.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.687213659286499,0.7744417190551758,-0.08722805976867676,1,0,0.7333731651306152,0.8471128940582275,-0.1137397289276123,1,0,10.0,1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,90.0,80.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.679517924785614,0.6844525337219238,-0.0049346089363098145,1,0,0.9074247479438782,0.8574692606925964,0.04995548725128174,0,1,10.0,1.0,-1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,78.0,92.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6685130000114441,0.8237561583518982,-0.1552431583404541,1,1,0.8987985849380493,0.9099550843238831,-0.01115649938583374,1,1,-14.0,-1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,90.0,75.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.596685528755188,0.711462140083313,-0.114776611328125,1,0,0.7799145579338074,0.8497105836868286,-0.06979602575302124,1,0,15.0,1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,5,4,1,round002_pair005_i4_A.png,round002_pair005_j1_B.png,85.0,90.0,1,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7097001075744629,0.6250853538513184,0.08461475372314453,0,0,0.8629978895187378,0.8182803392410278,0.04471755027770996,0,0,-5.0,-1.0,1.0,1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,6,4,2,round002_pair006_i4_A.png,round002_pair006_j2_B.png,88.0,82.0,0,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6447542905807495,0.6796092391014099,-0.0348549485206604,1,0,0.7264570593833923,0.8738951683044434,-0.14743810892105103,1,0,6.0,1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,7,4,3,round002_pair007_i4_A.png,round002_pair007_j3_B.png,88.0,95.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6982864141464233,0.7614953517913818,-0.0632089376449585,1,1,0.7482212781906128,0.8979630470275879,-0.1497417688369751,1,1,-7.0,-1.0,-1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
2,8,4,5,round002_pair008_i4_A.png,round002_pair008_j5_B.png,90.0,80.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7100775837898254,0.6571505069732666,0.05292707681655884,0,1,0.7508310079574585,0.8586260080337524,-0.10779500007629395,1,0,10.0,1.0,1.0,-1.0,gpt_4o_mini,gemini_duel,Gemini-duel
