round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,8.5,5.5,0,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5926787257194519,0.5963529348373413,-0.0036742091178894043,1,0,0.6529970169067383,0.7288464307785034,-0.07584941387176514,1,0,3.0,1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,9.5,5.5,0,0.88,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5103960037231445,0.5993748903274536,-0.08897888660430908,1,0,0.6973419189453125,0.6950668692588806,0.0022750496864318848,0,1,4.0,1.0,-1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,6.0,9.0,1,0.75,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5478141903877258,0.5983204245567322,-0.05050623416900635,1,1,0.6928752660751343,0.7161199450492859,-0.02324467897415161,1,1,-3.0,-1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,7.2,8.0,1,0.66,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6279197335243225,0.6214205622673035,0.006499171257019043,0,0,0.6650605797767639,0.7043133974075317,-0.03925281763076782,1,1,-0.7999999999999998,-1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,6.0,8.0,1,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.656975269317627,0.6559655666351318,0.0010097026824951172,0,0,0.7161117792129517,0.7456991672515869,-0.029587388038635254,1,1,-2.0,-1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,9.0,6.0,0,0.72,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6271451115608215,0.5619189739227295,0.06522613763809204,0,1,0.7026538848876953,0.7071332931518555,-0.004479408264160156,1,0,3.0,1.0,1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,9.2,5.8,0,0.83,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6130343079566956,0.5518242120742798,0.06121009588241577,0,1,0.7195278406143188,0.7155359983444214,0.003991842269897461,0,1,3.3999999999999995,1.0,1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,4.0,9.0,1,0.78,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.6139481663703918,0.6329737305641174,-0.019025564193725586,1,1,0.7187060713768005,0.7458885908126831,-0.02718251943588257,1,1,-5.0,-1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,7.0,8.7,1,0.78,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5926787257194519,0.5963529348373413,-0.0036742091178894043,1,1,0.6529970169067383,0.7288464307785034,-0.07584941387176514,1,1,-1.6999999999999993,-1.0,-1.0,-1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,7.5,6.0,0,0.65,01_Anime_illustration_of_a_kangaroo_holding_a_sign_that_says_S_1_0,0.5103960037231445,0.5993748903274536,-0.08897888660430908,1,0,0.6973419189453125,0.6950668692588806,0.0022750496864318848,0,1,1.5,1.0,-1.0,1.0,gpt_5_nano,qwen_image_fal_duel,Qwen-Image-duel
