round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,vlm_margin,vlm_sign,dino_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,6.0,8.0,1,0.8,0.5124244689941406,0.4903952181339264,0.022029250860214233,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,6.0,8.0,1,0.85,0.48617494106292725,0.47695744037628174,0.009217500686645508,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,7.0,9.0,1,0.85,0.50885009765625,0.4936492145061493,0.015200883150100708,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,8.0,6.0,0,0.85,0.5503734350204468,0.422955185174942,0.12741824984550476,0,1,2.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,7.0,8.5,1,0.85,0.5121932029724121,0.4205104112625122,0.0916827917098999,0,0,-1.5,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,8.0,4.0,0,0.85,0.4690830111503601,0.517057478427887,-0.047974467277526855,1,0,4.0,1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,6.0,8.0,1,0.85,0.49909359216690063,0.47242122888565063,0.02667236328125,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,8.0,5.0,0,0.85,0.5300995111465454,0.4607708156108856,0.06932869553565979,0,1,3.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,7.0,9.0,1,0.85,0.49391472339630127,0.4807054400444031,0.013209283351898193,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,6.0,8.0,1,0.8,0.46101346611976624,0.45419448614120483,0.006818979978561401,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,1,4,0,round002_pair001_i4_A.png,round002_pair001_j0_B.png,7.0,8.5,1,0.85,0.46061521768569946,0.5926265120506287,-0.1320112943649292,1,1,-1.5,-1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,2,3,1,round002_pair002_i3_A.png,round002_pair002_j1_B.png,7.0,8.5,1,0.85,0.45248597860336304,0.44793790578842163,0.004548072814941406,0,0,-1.5,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,3,2,5,round002_pair003_i2_A.png,round002_pair003_j5_B.png,6.0,8.0,1,0.85,0.4690541625022888,0.4723341166973114,-0.003279954195022583,1,1,-2.0,-1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,4,4,0,round002_pair004_i4_A.png,round002_pair004_j0_B.png,7.0,9.0,1,0.85,0.45363959670066833,0.4893454313278198,-0.03570583462715149,1,1,-2.0,-1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,5,4,1,round002_pair005_i4_A.png,round002_pair005_j1_B.png,8.5,6.5,0,0.85,0.47073274850845337,0.3943594694137573,0.07637327909469604,0,1,2.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,6,4,2,round002_pair006_i4_A.png,round002_pair006_j2_B.png,8.0,6.0,0,0.8,0.47564855217933655,0.35705819725990295,0.1185903549194336,0,1,2.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,7,4,3,round002_pair007_i4_A.png,round002_pair007_j3_B.png,8.0,6.0,0,0.8,0.44586896896362305,0.4668058156967163,-0.02093684673309326,1,0,2.0,1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,8,4,5,round002_pair008_i4_A.png,round002_pair008_j5_B.png,8.5,5.0,0,0.8,0.46830180287361145,0.4857204556465149,-0.017418652772903442,1,0,3.5,1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,9,4,3,round002_pair009_i4_A.png,round002_pair009_j3_B.png,8.0,6.0,0,0.85,0.4909133315086365,0.49893543124198914,-0.008022099733352661,1,0,2.0,1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
2,10,4,3,round002_pair010_i4_A.png,round002_pair010_j3_B.png,6.5,8.5,1,0.85,0.4203534722328186,0.5037568211555481,-0.08340334892272949,1,1,-2.0,-1.0,-1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,1,4,0,round003_pair001_i4_A.png,round003_pair001_j0_B.png,7.0,9.0,1,0.85,0.4996131658554077,0.49823305010795593,0.0013801157474517822,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,2,5,2,round003_pair002_i5_A.png,round003_pair002_j2_B.png,8.0,6.0,0,0.85,0.5053240060806274,0.489890992641449,0.015433013439178467,0,1,2.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,3,3,1,round003_pair003_i3_A.png,round003_pair003_j1_B.png,6.0,8.0,1,0.9,0.45834922790527344,0.4486294984817505,0.00971972942352295,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,4,4,1,round003_pair004_i4_A.png,round003_pair004_j1_B.png,9.0,7.0,0,0.85,0.469657301902771,0.38711556792259216,0.08254173398017883,0,1,2.0,1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,5,4,0,round003_pair005_i4_A.png,round003_pair005_j0_B.png,6.0,8.0,1,0.85,0.4703114628791809,0.4690459966659546,0.0012654662132263184,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,6,4,0,round003_pair006_i4_A.png,round003_pair006_j0_B.png,4.0,8.0,1,0.85,0.496203750371933,0.4439987242221832,0.052205026149749756,0,0,-4.0,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
3,7,4,1,round003_pair007_i4_A.png,round003_pair007_j1_B.png,7.0,8.5,1,0.85,0.4943559765815735,0.45366013050079346,0.04069584608078003,0,0,-1.5,-1.0,1.0,gpt_4_1_mini,flux1_fal_duel,Flux1-duel
